ZipCode,county,state,Adult,Retirement,Geriatric
35022,Jefferson County,AL,NA,NA,47.5
35120,St. Clair County,AL,54.74452554744526,NA,NA
35124,Shelby County,AL,58.3941605839416,NA,NA
35125,St. Clair County,AL,NA,NA,53.75
35481,Pickens County,AL,98.29683698296837,NA,NA
35640,Morgan County,AL,NA,29.48717948717949,NA
35773,Madison County,AL,61.55717761557178,NA,NA
35803,Madison County,AL,NA,NA,86.5625
35903,Etowah County,AL,NA,NA,55.00000000000001
35960,Cherokee County,AL,NA,NA,75.15625
36116,Montgomery County,AL,NA,NA,42.34375
36272,Calhoun County,AL,84.42822384428223,NA,NA
36277,Calhoun County,AL,79.56204379562044,NA,NA
36420,Covington County,AL,49.87834549878345,NA,NA
36618,Mobile County,AL,67.15328467153284,NA,NA
36853,Tallapoosa County,AL,NA,69.01709401709401,68.28125
36862,Chambers County,AL,NA,NA,81.09375
36877,Lee County,AL,86.37469586374696,NA,NA
99504,Anchorage Municipality,AK,NA,NA,87.8125
99515,Anchorage Municipality,AK,NA,93.80341880341881,NA
99516,Anchorage Municipality,AK,92.7007299270073,NA,NA
99517,Anchorage Municipality,AK,78.58880778588808,NA,NA
99701,Fairbanks North Star Borough,AK,NA,NA,95.9375
85008,Maricopa County,AZ,87.34793187347933,NA,NA
85009,Maricopa County,AZ,12.408759124087592,20.94017094017094,NA
85014,Maricopa County,AZ,NA,NA,97.8125
85017,Maricopa County,AZ,29.44038929440389,NA,NA
85031,Maricopa County,AZ,NA,NA,70.78125
85042,Maricopa County,AZ,23.357664233576642,NA,NA
85051,Maricopa County,AZ,NA,30.34188034188034,NA
85085,Maricopa County,AZ,NA,NA,71.25
85122,Pinal County,AZ,30.170316301703163,NA,68.125
85128,Pinal County,AZ,37.469586374695865,46.58119658119658,NA
85132,Pinal County,AZ,NA,NA,98.28125
85208,Maricopa County,AZ,NA,NA,22.65625
85251,Maricopa County,AZ,37.22627737226277,NA,58.28124999999999
85253,Maricopa County,AZ,NA,NA,90
85260,Maricopa County,AZ,NA,NA,48.75
85263,Maricopa County,AZ,NA,NA,92.65625
85282,Maricopa County,AZ,38.44282238442822,NA,57.49999999999999
85283,Maricopa County,AZ,NA,75.21367521367522,NA
85304,Maricopa County,AZ,72.26277372262774,NA,NA
85305,Maricopa County,AZ,NA,92.09401709401709,NA
85326,Maricopa County,AZ,NA,82.47863247863248,NA
85331,Maricopa County,AZ,NA,NA,73.4375
85338,Maricopa County,AZ,31.143552311435524,NA,NA
85344,La Paz County,AZ,64.72019464720195,NA,NA
85345,Maricopa County,AZ,NA,35.8974358974359,NA
85351,Maricopa County,AZ,NA,NA,1.7187500000000002
85364,Yuma County,AZ,NA,48.504273504273506,NA
85365,Yuma County,AZ,26.034063260340634,NA,NA
85373,Maricopa County,AZ,NA,NA,44.84375
85374,Maricopa County,AZ,NA,NA,28.281250000000004
85375,Maricopa County,AZ,NA,NA,2.34375
85381,Maricopa County,AZ,NA,60.68376068376068,NA
85530,Graham County,AZ,91.72749391727494,NA,NA
85542,Gila County,AZ,NA,NA,95.46875
85634,Pima County,AZ,19.464720194647203,NA,NA
85705,Pima County,AZ,NA,27.564102564102566,NA
85706,Pima County,AZ,NA,NA,64.84375
85713,Pima County,AZ,27.00729927007299,NA,NA
85718,Pima County,AZ,74.69586374695864,16.45299145299145,18.90625
85719,Pima County,AZ,83.94160583941606,NA,NA
85737,Pima County,AZ,NA,NA,35.15625
85739,Pinal County,AZ,NA,NA,20.9375
85747,Pima County,AZ,NA,NA,99.84375
85749,Pima County,AZ,NA,NA,83.28125
85941,Apache County,AZ,11.19221411192214,NA,NA
86045,Coconino County,AZ,21.41119221411192,NA,NA
86047,Navajo County,AZ,NA,NA,71.5625
86314,Yavapai County,AZ,14.111922141119221,18.58974358974359,NA
86324,Yavapai County,AZ,NA,83.76068376068376,NA
86406,Mohave County,AZ,NA,19.444444444444446,NA
86503,Apache County,AZ,NA,39.743589743589745,NA
86505,Apache County,AZ,58.88077858880778,NA,NA
71646,Ashley County,AR,96.10705596107056,NA,NA
72701,Washington County,AR,NA,56.623931623931625,NA
72714,Benton County,AR,NA,NA,84.21875
72908,Sebastian County,AR,74.69586374695864,NA,NA
90007,Los Angeles County,CA,26.763990267639905,NA,NA
90016,Los Angeles County,CA,NA,NA,25.3125
90023,Los Angeles County,CA,35.523114355231144,NA,NA
90044,Los Angeles County,CA,NA,14.102564102564102,NA
90048,Los Angeles County,CA,NA,NA,36.25
90249,Los Angeles County,CA,NA,NA,90.15625
90266,Los Angeles County,CA,NA,NA,92.65625
90274,Los Angeles County,CA,NA,49.572649572649574,NA
90275,Los Angeles County,CA,NA,NA,50.46874999999999
90503,Los Angeles County,CA,90.02433090024331,NA,NA
90623,Orange County,CA,NA,NA,96.875
90630,Orange County,CA,NA,45.94017094017094,61.5625
90660,Los Angeles County,CA,NA,56.623931623931625,NA
90706,Los Angeles County,CA,NA,NA,91.25
90815,Los Angeles County,CA,46.95863746958637,NA,NA
91040,Los Angeles County,CA,NA,NA,95
91208,Los Angeles County,CA,85.88807785888078,NA,NA
91304,Los Angeles County,CA,69.82968369829685,NA,NA
91311,Los Angeles County,CA,NA,40.38461538461539,NA
91335,Los Angeles County,CA,NA,71.36752136752136,11.5625
91402,Los Angeles County,CA,54.257907542579076,NA,NA
91403,Los Angeles County,CA,71.53284671532847,NA,NA
91423,Los Angeles County,CA,NA,NA,40.78125
91750,Los Angeles County,CA,NA,NA,27.34375
91911,San Diego County,CA,NA,NA,32.96875
92064,San Diego County,CA,NA,NA,26.406249999999996
92106,San Diego County,CA,NA,51.70940170940172,NA
92113,San Diego County,CA,NA,27.77777777777778,NA
92203,Riverside County,CA,87.8345498783455,NA,NA
92211,Riverside County,CA,NA,NA,12.968750000000002
92220,Riverside County,CA,53.04136253041363,NA,NA
92252,San Bernardino County,CA,NA,86.11111111111111,NA
92253,Riverside County,CA,42.82238442822384,NA,75.3125
92260,Riverside County,CA,NA,NA,2.65625
92264,Riverside County,CA,NA,NA,41.40625
92270,Riverside County,CA,74.45255474452554,6.837606837606838,89.6875
92307,San Bernardino County,CA,25.790754257907544,NA,NA
92311,San Bernardino County,CA,NA,41.66666666666667,NA
92345,San Bernardino County,CA,8.27250608272506,NA,NA
92346,San Bernardino County,CA,54.01459854014598,NA,NA
92395,San Bernardino County,CA,24.817518248175183,NA,NA
92557,Riverside County,CA,34.54987834549878,NA,NA
92595,Riverside County,CA,NA,94.44444444444444,NA
92614,Orange County,CA,NA,NA,70
92620,Orange County,CA,NA,34.61538461538461,NA
92625,Orange County,CA,NA,54.059829059829056,NA
92651,Orange County,CA,NA,NA,57.34375000000001
92653,Orange County,CA,NA,41.02564102564102,NA
92683,Orange County,CA,NA,NA,6.5625
92692,Orange County,CA,NA,NA,10.78125
92804,Orange County,CA,NA,16.23931623931624,NA
92805,Orange County,CA,23.114355231143552,NA,NA
92833,Orange County,CA,NA,25,NA
92835,Orange County,CA,NA,49.78632478632478,NA
92860,Riverside County,CA,66.90997566909975,NA,NA
93010,Ventura County,CA,NA,NA,95.78125
93021,Ventura County,CA,NA,39.31623931623932,NA
93065,Ventura County,CA,NA,17.094017094017094,NA
93105,Santa Barbara County,CA,NA,NA,84.0625
93111,Santa Barbara County,CA,NA,NA,96.40625
93230,Kings County,CA,NA,NA,94.0625
93257,Tulare County,CA,11.435523114355231,79.27350427350427,NA
93268,Kern County,CA,NA,NA,86.40625
93306,Kern County,CA,18.248175182481752,NA,NA
93312,Kern County,CA,NA,NA,47.96875
93314,Kern County,CA,72.74939172749392,NA,NA
93436,Santa Barbara County,CA,NA,67.09401709401709,NA
93460,Santa Barbara County,CA,NA,91.45299145299145,NA
93551,Los Angeles County,CA,50.60827250608273,NA,NA
93552,Los Angeles County,CA,NA,62.82051282051282,NA
93610,Madera County,CA,NA,NA,99.375
93619,Fresno County,CA,NA,92.3076923076923,NA
93706,Fresno County,CA,NA,32.26495726495727,NA
93901,Monterey County,CA,NA,NA,41.5625
93923,Monterey County,CA,NA,NA,34.53125
93924,Monterey County,CA,NA,96.36752136752136,82.1875
93933,Monterey County,CA,NA,94.87179487179486,NA
94002,San Mateo County,CA,NA,31.837606837606835,NA
94010,San Mateo County,CA,NA,NA,10.9375
94103,San Francisco County,CA,10.70559610705596,NA,NA
94108,San Francisco County,CA,NA,NA,45.46875
94134,San Francisco County,CA,NA,NA,25.156250000000004
94509,Contra Costa County,CA,NA,10.042735042735043,NA
94513,Contra Costa County,CA,NA,NA,25.46875
94568,Alameda County,CA,49.148418491484186,NA,NA
94606,Alameda County,CA,NA,74.57264957264957,NA
94608,Alameda County,CA,NA,67.94871794871796,NA
94619,Alameda County,CA,NA,NA,65.78125
94920,Marin County,CA,NA,NA,37.1875
94949,Marin County,CA,NA,NA,52.81249999999999
95030,Santa Clara County,CA,NA,NA,55.46875
95032,Santa Clara County,CA,NA,79.05982905982906,NA
95062,Santa Cruz County,CA,NA,60.470085470085465,NA
95070,Santa Clara County,CA,NA,NA,18.125
95073,Santa Cruz County,CA,NA,NA,78.59375
95118,Santa Clara County,CA,NA,72.22222222222221,NA
95120,Santa Clara County,CA,NA,NA,29.21875
95124,Santa Clara County,CA,NA,NA,63.59375000000001
95125,Santa Clara County,CA,45.25547445255474,NA,NA
95127,Santa Clara County,CA,96.35036496350365,NA,NA
95134,Santa Clara County,CA,NA,98.71794871794873,NA
95341,Merced County,CA,52.311435523114355,NA,NA
95358,Stanislaus County,CA,28.223844282238442,66.45299145299145,NA
95376,San Joaquin County,CA,NA,28.63247863247863,NA
95476,Sonoma County,CA,NA,NA,73.75
95603,Placer County,CA,NA,NA,24.0625
95618,Yolo County,CA,NA,NA,52.5
95628,Sacramento County,CA,NA,59.82905982905983,NA
95648,Placer County,CA,NA,NA,9.0625
95667,El Dorado County,CA,NA,NA,2.96875
95709,El Dorado County,CA,NA,NA,99.0625
95823,Sacramento County,CA,10.46228710462287,NA,NA
95864,Sacramento County,CA,NA,NA,35.3125
95954,Butte County,CA,NA,28.205128205128204,NA
96001,Shasta County,CA,86.86131386861314,NA,36.40625
96007,Shasta County,CA,NA,74.14529914529915,NA
80002,Jefferson County,CO,NA,62.39316239316239,NA
80010,Arapahoe County,CO,63.26034063260341,NA,NA
80020,Broomfield County,CO,NA,NA,30.9375
80022,Adams County,CO,14.5985401459854,NA,NA
80124,Douglas County,CO,NA,NA,92.5
80125,Douglas County,CO,NA,95.51282051282051,NA
80128,Jefferson County,CO,NA,82.6923076923077,NA
80132,El Paso County,CO,NA,82.90598290598291,NA
80209,Denver County,CO,NA,NA,60.3125
80215,Jefferson County,CO,NA,NA,90.46875
80220,Denver County,CO,31.873479318734795,NA,NA
80222,Denver County,CO,NA,NA,93.28125
80233,Adams County,CO,23.844282238442823,NA,NA
80236,Denver County,CO,NA,NA,75
80526,Larimer County,CO,64.23357664233576,NA,NA
80620,Weld County,CO,NA,NA,83.125
80751,Logan County,CO,39.416058394160586,NA,NA
80907,El Paso County,CO,NA,NA,40.3125
80911,El Paso County,CO,NA,NA,43.59375
80918,El Paso County,CO,43.30900243309003,NA,NA
81001,Pueblo County,CO,65.69343065693431,NA,NA
81004,Pueblo County,CO,22.38442822384428,NA,NA
81006,Pueblo County,CO,97.08029197080292,NA,NA
81501,Mesa County,CO,41.3625304136253,NA,NA
81506,Mesa County,CO,NA,NA,51.24999999999999
06001,Hartford County,CT,71.53284671532847,NA,NA
06002,Hartford County,CT,NA,67.52136752136752,27.968749999999996
06040,Hartford County,CT,8.75912408759124,NA,NA
06082,Hartford County,CT,70.55961070559611,10.47008547008547,14.6875
06118,Hartford County,CT,NA,30.555555555555557,31.25
06280,Windham County,CT,NA,95.08547008547008,NA
06426,Middlesex County,CT,NA,87.6068376068376,NA
06484,Fairfield County,CT,NA,NA,15.937499999999998
06492,New Haven County,CT,18.491484184914842,NA,NA
06614,Fairfield County,CT,52.798053527980535,NA,NA
06716,New Haven County,CT,58.63746958637469,NA,NA
06790,Litchfield County,CT,NA,15.17094017094017,7.187499999999999
06855,Fairfield County,CT,NA,NA,100
19702,New Castle County,DE,NA,42.52136752136752,NA
19709,New Castle County,DE,NA,NA,54.21875000000001
19804,New Castle County,DE,NA,NA,48.90625
19805,New Castle County,DE,NA,31.41025641025641,NA
19934,Kent County,DE,NA,NA,51.09375000000001
19945,Sussex County,DE,NA,NA,54.6875
19947,Sussex County,DE,41.84914841849148,NA,NA
19963,Sussex County,DE,NA,57.692307692307686,NA
19966,Sussex County,DE,20.194647201946474,NA,NA
19970,Sussex County,DE,NA,NA,47.1875
32063,Baker County,FL,63.990267639902676,NA,NA
32068,Clay County,FL,NA,7.478632478632479,NA
32073,Clay County,FL,NA,NA,92.03125
32168,Volusia County,FL,56.447688564476884,NA,NA
32233,Duval County,FL,NA,NA,46.71875
32303,Leon County,FL,NA,37.17948717948718,NA
32340,Madison County,FL,NA,NA,97.96875
32503,Escambia County,FL,NA,NA,44.6875
32531,Okaloosa County,FL,NA,NA,96.25
32615,Alachua County,FL,NA,46.794871794871796,NA
32703,Orange County,FL,NA,14.529914529914532,NA
32708,Seminole County,FL,NA,NA,22.34375
32720,Volusia County,FL,NA,NA,90.78125
32751,Orange County,FL,NA,41.23931623931624,NA
32784,Lake County,FL,72.01946472019465,NA,NA
32810,Orange County,FL,NA,45.72649572649573,NA
32818,Orange County,FL,13.86861313868613,NA,NA
32826,Orange County,FL,NA,NA,69.21875
32835,Orange County,FL,NA,NA,90.9375
32839,Orange County,FL,NA,85.8974358974359,NA
32907,Brevard County,FL,NA,45.085470085470085,19.0625
32909,Brevard County,FL,NA,25.85470085470086,NA
32951,Brevard County,FL,NA,NA,73.4375
32958,Indian River County,FL,NA,NA,45
33009,Broward County,FL,NA,NA,10.9375
33026,Broward County,FL,NA,47.22222222222222,NA
33064,Broward County,FL,NA,81.19658119658119,78.4375
33076,Broward County,FL,NA,NA,49.84375
33133,Miami-Dade County,FL,NA,32.05128205128205,NA
33138,Miami-Dade County,FL,NA,NA,84.53125
33154,Miami-Dade County,FL,NA,NA,83.59375
33156,Miami-Dade County,FL,NA,NA,37.5
33165,Miami-Dade County,FL,NA,NA,4.6875
33186,Miami-Dade County,FL,NA,26.495726495726498,NA
33312,Broward County,FL,NA,15.81196581196581,NA
33319,Broward County,FL,NA,52.991452991452995,NA
33322,Broward County,FL,NA,NA,83.75
33408,Palm Beach County,FL,NA,NA,33.4375
33415,Palm Beach County,FL,NA,NA,92.65625
33417,Palm Beach County,FL,NA,NA,20.78125
33426,Palm Beach County,FL,NA,NA,79.375
33432,Palm Beach County,FL,96.59367396593674,NA,NA
33433,Palm Beach County,FL,NA,NA,16.5625
33436,Palm Beach County,FL,NA,NA,14.374999999999998
33437,Palm Beach County,FL,NA,NA,0.625
33444,Palm Beach County,FL,NA,NA,74.84375
33446,Palm Beach County,FL,73.96593673965937,69.65811965811966,50.9375
33455,Martin County,FL,NA,18.803418803418804,93.4375
33460,Palm Beach County,FL,NA,NA,88.125
33462,Palm Beach County,FL,NA,NA,64.21875
33469,Palm Beach County,FL,NA,NA,68.4375
33483,Palm Beach County,FL,NA,NA,77.8125
33484,Palm Beach County,FL,NA,NA,77.03125
33496,Palm Beach County,FL,NA,NA,84.375
33604,Hillsborough County,FL,NA,31.62393162393162,NA
33609,Hillsborough County,FL,NA,46.15384615384615,NA
33715,Pinellas County,FL,NA,NA,59.53125
33801,Polk County,FL,NA,33.547008547008545,NA
33809,Polk County,FL,NA,NA,28.4375
33815,Polk County,FL,NA,NA,74.375
33852,Highlands County,FL,NA,NA,89.0625
33860,Polk County,FL,NA,NA,62.03125000000001
33875,Highlands County,FL,NA,NA,65.15625
33880,Polk County,FL,NA,NA,24.21875
33881,Polk County,FL,64.47688564476886,NA,NA
33884,Polk County,FL,NA,NA,24.53125
33908,Lee County,FL,NA,NA,56.71874999999999
33928,Lee County,FL,NA,NA,19.375
33947,Charlotte County,FL,NA,NA,64.6875
33950,Charlotte County,FL,NA,NA,65.9375
33952,Charlotte County,FL,NA,NA,56.09375
33953,Charlotte County,FL,NA,NA,78.90625
33971,Lee County,FL,NA,53.63247863247863,NA
33980,Charlotte County,FL,NA,93.58974358974359,NA
34103,Collier County,FL,NA,NA,30.625000000000004
34112,Collier County,FL,NA,NA,19.53125
34114,Collier County,FL,NA,NA,35.9375
34120,Collier County,FL,33.81995133819951,NA,NA
34207,Manatee County,FL,NA,NA,68.90625
34208,Manatee County,FL,NA,39.1025641025641,NA
34209,Manatee County,FL,NA,NA,20.625
34217,Manatee County,FL,NA,93.16239316239316,NA
34223,Sarasota County,FL,NA,44.44444444444444,NA
34224,Charlotte County,FL,NA,NA,74.6875
34232,Sarasota County,FL,44.52554744525548,NA,NA
34233,Sarasota County,FL,NA,NA,51.87500000000001
34234,Sarasota County,FL,NA,NA,33.90625
34237,Sarasota County,FL,52.311435523114355,NA,NA
34243,Manatee County,FL,NA,NA,8.28125
34275,Sarasota County,FL,NA,22.863247863247864,NA
34285,Sarasota County,FL,NA,NA,35.625
34287,Sarasota County,FL,NA,23.717948717948715,58.59375
34293,Sarasota County,FL,NA,5.982905982905983,4.53125
34667,Pasco County,FL,41.605839416058394,NA,NA
34748,Lake County,FL,NA,NA,3.125
34788,Lake County,FL,NA,NA,26.875
34952,St. Lucie County,FL,NA,48.717948717948715,NA
34957,Martin County,FL,NA,NA,98.125
34972,Okeechobee County,FL,NA,61.111111111111114,NA
34983,St. Lucie County,FL,NA,NA,86.25
34986,St. Lucie County,FL,NA,NA,9.375
34990,Martin County,FL,57.17761557177615,NA,99.21875
30009,Fulton County,GA,NA,NA,61.71875
30030,DeKalb County,GA,NA,NA,38.90625
30033,DeKalb County,GA,NA,NA,38.90625
30041,Forsyth County,GA,NA,9.401709401709402,NA
30047,Gwinnett County,GA,NA,20.51282051282051,NA
30076,Fulton County,GA,56.934306569343065,NA,NA
30078,Gwinnett County,GA,NA,NA,85
30087,DeKalb County,GA,NA,NA,27.8125
30126,Cobb County,GA,NA,NA,52.96875
30132,Paulding County,GA,NA,30.128205128205128,NA
30141,Paulding County,GA,NA,NA,88.4375
30144,Cobb County,GA,32.846715328467155,NA,NA
30152,Cobb County,GA,NA,34.82905982905983,NA
30176,Haralson County,GA,NA,NA,94.6875
30214,Fayette County,GA,49.87834549878345,NA,NA
30281,Henry County,GA,NA,NA,66.09375
30295,Pike County,GA,98.54014598540147,NA,NA
30467,Screven County,GA,53.284671532846716,NA,NA
30549,Jackson County,GA,44.038929440389296,NA,NA
30605,Clarke County,GA,NA,NA,77.34375
30655,Walton County,GA,NA,77.13675213675214,NA
30680,Barrow County,GA,NA,NA,25.937500000000004
30701,Gordon County,GA,NA,NA,41.71875
30802,Columbia County,GA,NA,NA,80.15625
30809,Columbia County,GA,NA,NA,55.15624999999999
30830,Burke County,GA,NA,83.11965811965813,NA
30906,Richmond County,GA,NA,25.213675213675213,16.40625
30907,Columbia County,GA,NA,50.85470085470085,NA
30909,Richmond County,GA,NA,NA,21.5625
31015,Crisp County,GA,45.742092457420924,NA,NA
31021,Laurens County,GA,36.73965936739659,NA,NA
31061,Baldwin County,GA,77.85888077858881,NA,NA
31204,Bibb County,GA,NA,NA,61.40624999999999
31210,Bibb County,GA,55.961070559610704,NA,NA
31404,Chatham County,GA,NA,NA,36.875
31501,Ware County,GA,NA,NA,70.3125
31601,Lowndes County,GA,81.02189781021897,NA,NA
31643,Brooks County,GA,63.503649635036496,NA,NA
31757,Thomas County,GA,67.39659367396594,NA,NA
31768,Colquitt County,GA,NA,39.95726495726496,NA
31794,Tift County,GA,NA,14.316239316239315,NA
31903,Muscogee County,GA,NA,36.11111111111111,NA
39817,Decatur County,GA,57.907542579075425,NA,NA
96732,Maui County,HI,70.07299270072993,NA,NA
96778,Hawaii County,HI,64.96350364963503,NA,NA
96817,Honolulu County,HI,NA,5.555555555555555,NA
96818,Honolulu County,HI,NA,NA,27.65625
96822,Honolulu County,HI,NA,NA,10.625
96826,Honolulu County,HI,39.65936739659367,NA,NA
83201,Bannock County,ID,NA,NA,29.062500000000004
83204,Bannock County,ID,NA,48.93162393162393,NA
83404,Bonneville County,ID,NA,65.5982905982906,NA
83440,Madison County,ID,NA,58.119658119658126,NA
83607,Canyon County,ID,NA,NA,35
83617,Gem County,ID,65.93673965936739,NA,NA
83646,Ada County,ID,NA,NA,5.78125
83651,Canyon County,ID,NA,NA,14.21875
83686,Canyon County,ID,NA,22.435897435897438,NA
83714,Ada County,ID,NA,79.48717948717949,NA
60002,Lake County,IL,NA,55.769230769230774,NA
60013,McHenry County,IL,NA,NA,42.96875
60016,Cook County,IL,NA,33.97435897435898,NA
60035,Lake County,IL,NA,83.33333333333334,NA
60048,Lake County,IL,NA,NA,79.6875
60050,McHenry County,IL,NA,NA,15.46875
60056,Cook County,IL,NA,66.23931623931624,NA
60062,Cook County,IL,NA,NA,0.9375
60067,Cook County,IL,NA,NA,38.59375
60071,McHenry County,IL,96.83698296836984,NA,NA
60076,Cook County,IL,NA,19.017094017094017,15.625
60090,Cook County,IL,NA,51.49572649572649,NA
60093,Cook County,IL,NA,NA,22.03125
60118,Kane County,IL,NA,NA,93.125
60123,Kane County,IL,NA,NA,45.3125
60148,DuPage County,IL,NA,NA,12.03125
60152,McHenry County,IL,NA,NA,50.78125
60155,Cook County,IL,NA,52.13675213675214,NA
60169,Cook County,IL,NA,42.30769230769231,NA
60201,Cook County,IL,68.85644768856449,NA,NA
60415,Cook County,IL,NA,NA,60
60438,Cook County,IL,42.092457420924575,NA,NA
60453,Cook County,IL,41.119221411192214,NA,NA
60465,Cook County,IL,NA,NA,43.75
60467,Cook County,IL,NA,21.581196581196583,15.312500000000002
60480,Cook County,IL,NA,NA,77.5
60481,Will County,IL,NA,44.230769230769226,NA
60515,DuPage County,IL,75.669099756691,NA,NA
60516,DuPage County,IL,NA,23.29059829059829,NA
60525,Cook County,IL,NA,NA,13.90625
60542,Kane County,IL,86.61800486618006,NA,NA
60560,Kendall County,IL,NA,42.94871794871795,NA
60609,Cook County,IL,NA,67.73504273504274,NA
60615,Cook County,IL,21.654501216545015,NA,18.28125
60637,Cook County,IL,NA,9.82905982905983,NA
60638,Cook County,IL,7.785888077858881,NA,6.09375
60640,Cook County,IL,NA,NA,49.53125
60655,Cook County,IL,NA,NA,60.62499999999999
60707,Cook County,IL,NA,NA,79.0625
60827,Cook County,IL,NA,NA,51.71875
60954,Kankakee County,IL,84.91484184914842,NA,62.5
61016,Winnebago County,IL,95.37712895377129,NA,NA
61048,Stephenson County,IL,NA,NA,89.53125
61081,Whiteside County,IL,28.467153284671532,NA,NA
61111,Winnebago County,IL,47.93187347931874,NA,NA
61201,Rock Island County,IL,NA,54.27350427350427,NA
61244,Rock Island County,IL,NA,NA,32.96875
61571,Tazewell County,IL,NA,NA,69.0625
61603,Peoria County,IL,60.34063260340633,NA,NA
61616,Peoria County,IL,NA,81.62393162393163,NA
61704,McLean County,IL,NA,NA,47.65625
61727,De Witt County,IL,NA,NA,91.40625
61801,Champaign County,IL,97.5669099756691,NA,NA
61821,Champaign County,IL,NA,NA,12.65625
61832,Vermilion County,IL,9.002433090024331,NA,NA
62012,Macoupin County,IL,NA,NA,54.84375
62420,Clark County,IL,NA,96.58119658119658,NA
62450,Richland County,IL,NA,NA,34.375
62521,Macon County,IL,NA,NA,5.625
62656,Logan County,IL,NA,NA,40.15625
62681,Schuyler County,IL,NA,94.65811965811966,NA
62703,Sangamon County,IL,NA,85.04273504273505,NA
46123,Hendricks County,IN,69.58637469586375,NA,NA
46173,Rush County,IN,NA,36.53846153846153,NA
46202,Marion County,IN,NA,58.333333333333336,NA
46203,Marion County,IN,76.39902676399026,NA,NA
46205,Marion County,IN,NA,47.008547008547005,NA
46214,Marion County,IN,NA,NA,32.34375
46227,Marion County,IN,NA,NA,5.46875
46236,Marion County,IN,76.88564476885644,NA,NA
46237,Marion County,IN,70.8029197080292,NA,NA
46241,Marion County,IN,NA,72.64957264957265,NA
46259,Marion County,IN,NA,NA,59.84374999999999
46268,Marion County,IN,NA,NA,89.375
46303,Lake County,IN,NA,33.33333333333333,NA
46304,Porter County,IN,NA,NA,53.125
46321,Lake County,IN,NA,NA,49.375
46322,Lake County,IN,NA,NA,12.812499999999998
46368,Porter County,IN,NA,11.752136752136751,14.0625
46385,Porter County,IN,NA,2.564102564102564,NA
46407,Lake County,IN,NA,NA,53.90625
46516,Elkhart County,IN,75.18248175182481,NA,NA
46545,St. Joseph County,IN,46.228710462287104,NA,63.125
46567,Kosciusko County,IN,NA,85.47008547008546,NA
46714,Wells County,IN,NA,NA,59.21875
46755,Noble County,IN,NA,NA,52.03124999999999
46774,Allen County,IN,NA,34.82905982905983,NA
46806,Allen County,IN,24.330900243309003,NA,NA
46809,Allen County,IN,NA,NA,76.5625
46992,Wabash County,IN,31.630170316301705,NA,NA
47136,Harrison County,IN,NA,96.15384615384616,NA
47170,Scott County,IN,NA,42.73504273504273,NA
47201,Bartholomew County,IN,54.50121654501216,NA,NA
47274,Jackson County,IN,NA,26.282051282051285,NA
47331,Fayette County,IN,95.62043795620438,NA,NA
47362,Henry County,IN,18.97810218978102,9.615384615384617,9.84375
47394,Randolph County,IN,67.63990267639902,NA,NA
47446,Lawrence County,IN,NA,57.26495726495726,NA
47448,Brown County,IN,NA,NA,76.71875
47501,Daviess County,IN,NA,19.230769230769234,NA
47710,Vanderburgh County,IN,33.09002433090024,NA,NA
47712,Vanderburgh County,IN,NA,82.05128205128204,NA
47714,Vanderburgh County,IN,NA,88.88888888888889,NA
47802,Vigo County,IN,NA,NA,30.15625
47804,Vigo County,IN,55.47445255474452,NA,NA
47834,Clay County,IN,NA,NA,91.875
50010,Story County,IA,NA,87.3931623931624,NA
50049,Lucas County,IA,NA,99.78632478632478,NA
50312,Polk County,IA,NA,NA,69.53125
50315,Polk County,IA,7.2992700729927,NA,NA
50317,Polk County,IA,NA,11.11111111111111,NA
50703,Black Hawk County,IA,NA,69.23076923076923,NA
52003,Dubuque County,IA,NA,NA,82.8125
52405,Linn County,IA,NA,34.18803418803419,34.84375
52501,Wapello County,IA,12.652068126520682,NA,NA
52577,Mahaska County,IA,NA,76.49572649572649,NA
52761,Muscatine County,IA,9.975669099756692,NA,NA
52803,Scott County,IA,NA,69.44444444444444,NA
52807,Scott County,IA,NA,70.94017094017094,NA
66044,Douglas County,KS,62.77372262773723,NA,NA
66048,Leavenworth County,KS,29.683698296836987,NA,NA
66102,Wyandotte County,KS,48.9051094890511,NA,NA
66208,Johnson County,KS,NA,NA,43.4375
66223,Johnson County,KS,NA,NA,49.21875
67203,Sedgwick County,KS,NA,77.77777777777779,NA
67212,Sedgwick County,KS,NA,NA,67.5
67701,Thomas County,KS,NA,70.2991452991453,NA
40004,Nelson County,KY,17.0316301703163,NA,NA
40065,Shelby County,KY,NA,24.786324786324787,NA
40069,Washington County,KY,63.74695863746959,NA,NA
40211,Jefferson County,KY,11.678832116788321,NA,NA
40241,Jefferson County,KY,NA,NA,54.0625
40245,Jefferson County,KY,46.47201946472019,NA,NA
40299,Jefferson County,KY,NA,NA,18.4375
40361,Bourbon County,KY,34.0632603406326,NA,NA
40517,Fayette County,KY,49.39172749391727,NA,NA
40741,Laurel County,KY,NA,NA,37.8125
41042,Boone County,KY,NA,NA,5.15625
41101,Boyd County,KY,NA,NA,19.21875
41144,Greenup County,KY,66.66666666666666,NA,NA
